themes,projet,section,title,contenu,author,type,created_at,updated_at,id
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"Les deniers publics, provenent de l'Etat des collectivités devraient
contribuer à une part importante du revenu en faovirsant les agriculteurs qui
produisent en respectant l'environnement (dont l'agriculture bio), la
biodiversité, qui façonnent des paysages diversifiés, qui sont intégrés dans
des circuits cours et locaux. Le niveau de revenu des agriculteurs doit se
faire sur les prix des produits mais aussi sur ces aides publiques en faveur
de pratiques agro-écologiques

",mirgah7,pour,2017-07-29T15:29:50+0200,2017-07-29T15:29:50+0200,000b60f9-7462-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Causes,Connaître plus précisément l'alimentation des animaux abattus,"Il serait préférable de savoir si l' animal a été nourrit a l'herbe fraîche
(pré) plutôt qu'en stabulation. Le maintient des prairies est essentiel pour
la bio-diversité et limiter les inondations.

",mg51700,pour,2017-07-24T18:34:44+0200,2017-07-24T18:34:44+0200,001eda20-708e-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"Je désire abonder sur ce que dit titof59 en ajoutant les éléments suivants :
\- la production française est souvent plus chère que celle de ses voisins qui
appliquent des normes sociales et/ou qualitatives moindres. \- il est
inadmissible que les producteurs français soient amenés à vendre en dessous de
leur prix de revient parce que leurs acheteurs le mettent en concurrence avec
d'autres pays moins-disants. \- les français déclarent souvent être prêts à
acheter plus cher et français pour soutenir les producteurs... le font-ils
vraiment dans les mêmes proportions ? je n'en suis pas sûr... \- pour les y
aider, pourquoi ne pas ajouter de la transparence en indiquant sur les
étiquettes des produits les parts des trois éléments suivants : coût de
revient, marge du producteur et coût des intermédiaires dans le prix de vente
? Cela aiderait à l'éducation des consommateurs en leur donnant ces
informations qu'ils pourraient utiliser pour comparer et comprendre qui
applique une marge nécessaire pour vivre de sa production et qui s'enrichit
purement et simplement.

",BOREUX Marc,pour,2017-07-23T15:44:07+0200,2017-07-23T15:44:07+0200,00208116-6fad-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,revenir à une multi-production,"Une forme de diversification peut permettre d'étaler certains risques
(climatiques, parasitaires, fluctuation des cours, etc.). Mais la nature des
sols, le climat, la taille de l'exploitation et son contexte ne permettent pas
d'envisager n'importe quelle production. En montagne on est limité à certains
élevages, en zone péri-urbaine sur de petites structures il n'y a que le
maraîchage de possible, etc. Le système polyculture-élevage est très
contraignant pour les structures de taille modeste ou moyenne : qui veut
encore traire matin et soir, 7 jours sur 7 un troupeau de 50 ou 100 vaches,
sans possibilités de vacances ?

",TRITICUM,contre,2017-08-04T16:48:38+0200,2017-08-04T16:48:38+0200,002966d1-7924-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Problème,Les informations relatives à la qualité des aliments (notamment l’emballage des produits) et à l’alimentation ne correspondent pas forcément à ce qu’attendent désormais les consommateurs,"je trouverais utile d'apprendre aux enfants à lire un emballage et avoir une
analyse critique

",Clotilde Lacoste Lacroix,pour,2017-08-29T16:40:27+0200,2017-08-29T16:40:27+0200,0041b127-8cc8-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,Développer l’économie circulaire en augmentant notamment les installations de compostage et de méthanisation,"Huh, tiens encore une promotion d'une technoIogie peu efficace et peu
rentabIe. Vaut mieux dépenser I'argent dans Ia Recherche AgricoIe au Iieu de
dépenser pour réduire de 0,0001% Ie Méthane de tout Ie BétaiI de France.

",Billen Charles,contre,2017-07-25T03:24:27+0200,2017-07-25T03:24:27+0200,005e2e44-70d8-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,les idées lubriques,"sauf que lobelyne vous n'êtes pas au courant de tout et surtout il ne peut pas
y avoir alimentation sans agriculture .Ces états généraux ont bien été
provoqué pour répondre à al crise agricole dont l'élevage fait partie .Cela ne
peut être en aucun cas être l'occasion de propagandes .Ces états généraux
doivent être au contraire l'occasion d'une réflexion profonde sur la promotion
des produits de terroir , des biens faits de chaque aliment sans en renier
.Etre végan ne signifie en rien une alimentation saine ,vu les produits indus
qui sont sortis on en est très loin , c'est dans tous les cas une alimentation
déséquilibrée qu'il faut complémenter

",paysanne,pour,2017-08-04T16:48:38+0200,2017-08-04T16:48:38+0200,0074c538-7924-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,L’absence de séparation entre le métier de conseil et de vente d’intrants,"Pour l'exemple que je connais bien, les soins vétérinaires, ce n'est pas si
simple car les pays qui ont un découplage total ne sont pas, loin s'en faut,
les bons élèves. les vétérinaires libéraux français ont respectés les
contraintes du plan eco-antibio avec une baisse importante de la consommation
alors qu'en parallèle, les médecins pourtant uniquement prescripteurs n'ont
jamais diminué leurs prescriptions d'antibiotiques.

",François Courouble,contre,2017-07-25T22:08:18+0200,2017-07-25T22:08:18+0200,007f5906-7175-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,"Créer un label ""éthique pour les producteurs français""","On a déjà une pléiade de labels... pas sûr qu'en rajouter assure une bonne
compréhension du consommateur...

",EO86,contre,2017-07-20T12:20:06+0200,2017-07-20T12:20:06+0200,0087e19a-6d35-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,Autoriser les agriculteurs à resemer leurs propres semences,"Les agriculteurs ont déjà la possibilité de resemer leurs semences (céréales
par exemple). La redevance, faible, sert à ""dédommager"" le sélectionneur. Si
le gain moyen es. N'oublions pas que sans recherche, il n'y aura pas
d'innovation. Si le gain de rendement moyen est de 1q/ha/an depuis 50 ans
c'est grâce à la recherche des sociétés. Ne pas payer de redevance, cela
revient à du piratage, comme cela se passe dans l'industrie du disque.

",lolo7078,contre,2017-07-20T16:23:29+0200,2017-07-20T16:23:29+0200,0087fdc3-6d57-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Solutions,Solution : végétaliser l'agriculture éviterait les crises sanitaires majeures,"vous vous auto copiez ? Ce que vous faites s'appelle propagande , non de la
participation à une consultation publique

",paysanne,contre,2017-07-25T22:29:47+0200,2017-07-25T22:29:47+0200,00aa82e5-7178-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Solutions,Mieux orienter les campagnes de communication et sensibiliser sur les risques,"en commençant par donner l'exemple et introduire les aliments issus de
l'agriculture biologique, dans les maternités et les srvices pédiatriques

",mariette,pour,2017-07-25T00:54:08+0200,2017-07-25T00:54:08+0200,00d0a549-70c3-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,Promouvoir une agriculture à vocation santé,"si la voiture tue et pollue effectivement , elle ne sera pas pour autant
responsable d'extinction de masse prévisible avec tous les éléments chimiques
qui s'accumulent dans notre environnement; allant jusqu'à la stérilisation des
terres comme on le voit dans les ex grandes plaines céréalières de l'ex URSS
et des US. revenir à une agriculture écologiquement intensive est possible, le
savoir des hommes est plus que suffisant; il suffit d'arrêter d'obéir aux
multinationales qui feraient mieux de diriger leurs recherches dans un autre
sens, celui de la vie des autres.

",jplorand,pour,2017-07-27T15:17:55+0200,2017-07-27T15:17:55+0200,00daadfa-72ce-11e7-92ee-fa163e947a7a
Exportation / International,Comment valoriser le modèle alimentaire français ?,Causes,Pour une baisse de la TVA pour les produits bio et locaux,"ce qui sera perdu en recette de TVA sera largement compensé en cotisations car
la production agricole locale et biologique nécessite plus de main d'oeuvre

",Gérard Samuel,pour,2017-07-31T21:03:56+0200,2017-07-31T21:03:56+0200,00f12952-7623-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Solutions,Développer les abattoirs mobiles en France,"Quid du respect des normes sanitaires et environnementales ?

",stdupont,contre,2017-07-23T18:00:09+0200,2017-07-23T18:00:09+0200,01150975-6fc0-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"etant agricultrice, il faudrait que le gouvernement travaille à la relance de
l'export pour les productions animales(relation avec la russie par exemple).
Il faudrait aussi une harmonisation des normes entre pays européens et non
plus une course au toujours plus de normes..... Il faudrait aussi une tva
spéciale: la vente de nos produits se fait à 5% et nos achats à 20% d'ou un
déséquilibre

",emilie,pour,2017-08-28T22:39:35+0200,2017-08-28T22:39:35+0200,011704ac-8c31-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,"Mettre en place des projets expérimentaux de ‘grappes de fermes’ pour expérimenter, former, et développer de nouveaux modèles alimentaires territoriaux.","La ferme du Bec Helouin un hectare pour créer un oasis plus productif que les
grandes exploitations .

",Sophie Pairel Hoiry,pour,2017-08-08T14:06:26+0200,2017-08-08T14:06:26+0200,011b76b8-7c32-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,encourager les produits bio,"Eduquer le consommateur: la qualité a un cout!

",Christophe Vautrin,pour,2017-08-15T13:58:08+0200,2017-08-15T13:58:08+0200,0161d5d9-81b1-11e7-92ee-fa163e947a7a
