themes,projet,section,title,contenu,sourcesCount,votesCountOk,updatedAt,connectionsCount,createdAt,votesCountNok,author,pinned,votesCount,argumentsCount,versionsCount,votesCountMitige,id
Consommation,Comment mieux informer les consommateurs ?,Solutions,Un label commerce equitable en France,"Pour s'assurer que les agriculteurs sont payés au juste prix - comme le label
Commerce équitable pour les pays du sud

",0,8,2017-07-21T16:36:36+02:00,0,2017-07-21T16:36:36+02:00,0,duke duke,False,8,0,0,0,008d6981-6e22-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,Indiquer clairement l'origine (pays) des ingrédients majoritaires des produits transformés,"Que soit indiqué sur l'étiquetage des produits l'origine géographique (pays)
des ingrédients majoritaires présents dans les produits transformés pour que
le consommateur puisse faire un choix éclairé lors de ses achats

  

Plusieurs solutions pratiques sont envisageables :

  

1) Préciser à travers la liste des ingrédient l'origine pour tous les
ingrédients majoritaires (par exemple dont la concentration excède 10% dans le
produit final).

Pour les ingrédients dont l'origine est multiple ou dépend des lots de
fabrication, il pourrait être admis l'indication d'une zone géographique
(Europe, Asie, Monde entier...)

  

2) Mettre sur l'étiquette un petit drapeau bleu-blanc-rouge si tous les
ingrédients majoritaires sont d'origine France, un petit drapeau européen
s'ils sont d'origine divers mais en Europe, etc....

",0,6,2017-07-25T22:22:37+02:00,0,2017-07-25T22:22:37+02:00,0,Aude C.,False,6,1,0,0,008f6f45-7177-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Causes,Les Normes Sanitaires Européennes doivent êtres les mêmes et être imposées dans chaque Pays Européen,"Les normes sanitaires ne sont pas identiques dans chaque pays de l'union. Ce
n'est pas normal de voir des produits européens envahir les rayons Français
avec des pesticides interdits aux agriculteurs Francais. C'est déloyale et ça
impact non seulement les coûts de production mais notre santé.

",0,40,2017-07-21T11:57:26+02:00,0,2017-07-21T11:57:26+02:00,0,Fred,False,44,9,0,4,00b2ff66-6dfb-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Causes,"Faire apparaitre les Indice Glycémique pour lutter contre L'obésité et le Diabéte  ""IG : ..""","Faire apparaitre dans le tableau d'informations nutritionnelle l'indice
glycémique des produits dans la colonne des sucres. C'est très facile à mettre
en place seulement quelque caractères ( exemple ""IG:65"" ) .Cela va permet à la
personne de voir en un coup d’œil la rapidité à la quelle son corps va absorbé
le sucre. Le système des indices glycémiques et bien plus représentatif que la
notion de ""sucre"" ou ""glucide"". C'est indispensable dans une société ou la
plus part des gents consomment tout les jours des pâtes ou riz issu de
céréales totalement raffinées à l'index glycémique très haut mais pensant
manger des ""sucres lents"".

Je pense que cela favoriserais les produits a base de céréales complète et
diminuerai tout les maladie du au excès de sucre a assimilation ultra rapide.

",0,2,2017-08-22T09:24:57+02:00,0,2017-08-22T09:24:57+02:00,1,Ted 06,False,4,2,0,1,00bdd164-870b-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Solutions,Planter des arbres fruitiers le long des chemins,"Inciter à planter des arbres fruitiers le long des chemins de randonnées (et
autres espaces à définir : cours d'école, etc.) permettrait de récupérer des
fruits gratuitement par exemple en allant se promener.

  

",0,4,2017-08-24T16:03:27+02:00,0,2017-08-24T16:03:27+02:00,0,J.Woj,False,4,0,0,0,00cb09ab-88d5-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,Une heure par semaine d'éducation alimentaire en primaire,"_Deux grands chantiers_ :

 «Création et répartition de la valeur» et «Alimentation saine, sure, durable
et accessible à tous»

Chaque acteur de l’offre (l’éleveur, le producteur, le transformateur, le
distributeur) se félicite de l’initiative et s’interroge sur la capacité de
l’autre à plus de confiance et de transparence. Je crains, malheureusement,
que l’on parte battu une fois de plus en voyant dans ces EGA une machine à
débats – où chacun restera sur sa posture habituelle, qui accouchera de
quelques réglementations supplémentaires, contraignantes et inefficaces.

Les acteurs de l’offre répondent ensemble à une demande. Du producteur au
distributeur, chacun  avec son expertise :  le producteur produit, le
transformateur transforme et le distributeur distribue … Chacun et c’est bien
normal a pour objectif de créer de la valeur … pour son entreprise et ses
collaborateurs. Et l’on attend déjà les discours de posture habituels :

Celui de l’éleveur en danger car non rémunéré au juste prix. Celui du
transformateur qui doit investir pour produire une alimentation de qualité
toujours plus sûre. Et  enfin l’argument du distributeur qui sait mieux que
personne, qu’à bénéfice égal, le consommateur choisira toujours le moins cher.

Et disons-le, ils ont tous raison. Il est donc évident que si la
règlementation pour des usages commerciaux plus harmonieux entre acteurs est
fondamentale, nécessaire elle ne sera pas suffisante.

Il est urgent, à mon avis, d’appréhender le problème différemment.

**Agir sur le consommateur est une solution**

Différemment, c’est par exemple  admettre que les leviers d’action sont moins
du côté des acteurs de l’offre que de la demande.

La demande en matière d’alimentation, c’est le consommateur. Celui qui au bout
du compte achètera ou n’achètera pas le produit qu’on lui propose.

Oui le consommateur cherche toujours le prix bas. Mais il peut dépenser
quelques centimes de plus pour son litre de lait quand on lui explique que
l’éleveur sera justement rémunéré. Le succès de la gamme « c’est qui le patron
?» le prouve.

Oui le consommateur cherchera et achètera le steak haché le moins cher. Il
refusera le produit si il a  des doutes sur l’origine ou sur l’innocuité de la
viande et ira vers un produit plus sûr même si plus cher.

La demande et la consommation de produit « bio » en France n’a jamais été
aussi forte. La production nationale ne suffit pas. C’est bien la preuve que
le consommateur peut être prêt à payer la valeur ajoutée qu’on lui propose.

On voit bien par ces quelques exemples qu’agir sur le consommateur est la
solution. Car Leclerc et consort n’ont qu’un patron, c’est justement le
consommateur. Et si le consommateur veut de la valeur, l’offre suivra et tous
ses acteurs y trouveront leur compte. C’est ce que j’appelle _le renouveau
vertueux d’une meilleure alimentation. _

Le 12 juillet dernier l’Anses a publié [sa troisième étude sur les habitudes
alimentaires des
Français](https://www.anses.fr/fr/system/files/NUT2014SA0234Ra.pdf). Réalisée
tous les sept ans, elle constitue la photographie la plus complète du contenu
de nos assiettes. En analysant à la fois les apports nutritionnels bénéfiques
et les expositions à des substances néfastes, l’établissement public cherche à
mieux [prévenir](http://conjugaison.lemonde.fr/conjugaison/troisieme-
groupe/pr%C3%A9venir/) les maladies et à
[améliorer](http://conjugaison.lemonde.fr/conjugaison/premier-
groupe/am%C3%A9liorer/) la santé des Français. Le résultat de cette étude est
alarmant. Et montre des mauvais choix alimentaires et un niveau d’activité
physique nettement insuffisant.

**Alors comment agir sur le consommateur ? **

Je crois que la réponse passe par plus de responsabilité du  consommateur tout
en lui donnant, bien sûr, l’information qui justifie cette prise de
responsabilité.

Parce qu’une mère ou un père de famille qui a le choix est responsable de ce
qu’il achète ou n’achète pas, responsable de ce qu’il mange ou pas.

En laissant son enfant se goinfrer de chips de de soda devant son écran sans
faire de sport, il est responsable de sa future obésité, de son futur accident
cardio vasculaire…

Responsable, mais est-il coupable s’il ne sait pas la différence entre le
produit A ou le produit B ? Est-il coupable s’il ne connait pas les règles
basiques d’une alimentation équilibrée ?

Si on lui explique, si on le sensibilise, si on l’informe de ce qui est mieux
pour sa santé, pour celle de ses enfants, mieux pour celui qui fabrique le
produit, mieux pour le bien-être animal,  pour la planète et les générations
futures … il pourra accorder plus de valeur à ce qu’il achète et changer ses
choix et ses comportements.

On peut me rétorquer que cette information existe. Peut-être mais force est de
constater qu’à part une minorité d’initiés,  le consommateur n’en retient pas
grand-chose.

Une étude TNS Sofres montrait il y a peu qu’un consommateur sur deux
n’associait pas lipide à graisse ou glucide à sucre… On lui parle nutrition,
le consommateur n’entend pas, ne comprend pas. Un enfant sur deux à 7 ans (et
de nombreux adultes aussi)  pense que manger des pommes de terre c’est manger
des légumes. Deux sur trois au même âge ne savent pas reconnaitre une
courgette….

Vers une sensibilisation des futurs acheteurs

**On voit donc que le principal levier vers plus de valeur de l’alimentation se situe là : chez l’enfant**. Et c’est sans doute le plus efficace tant les mauvaises habitudes des parents sont difficiles à modifier.

  * Imaginons un instant, une heure d’éducation alimentaire par semaine à l’école en primaire. Pour connaitre les produits, leur origine, les bienfaits, la préparation de ces produits, comment les consommer, les choisir, comment faire soi-même, comment organiser un repas, une journée alimentaire…  etc.
  * Imaginons un instant cet enfant rentrer chez lui et inciter ses parents à faire autrement… 
  * Imaginons un instant cette génération initiée et sensibilisée remplir le chariot dans un supermarché quinze ans plus tard… le contenu de ce chariot sera bien différent d’aujourd’hui. 

  

Le bénéfice serait pour le coup vraiment partagé : plus de plaisir et une
meilleure santé pour le consommateur (avec la baisse des budgets de santé
publique qui l’accompagne)  et enfin plus de valeur pour tous les acteurs de
l’offre.

  

Nos deux grands chantiers auraient bien progressé.

",0,17,2017-07-21T11:57:27+02:00,0,2017-07-21T11:57:27+02:00,1,Xavier TERLET,False,18,4,0,0,00eaf7fa-6dfb-11e7-92ee-fa163e947a7a
Exportation / International,Comment valoriser le modèle alimentaire français ?,Causes,C'est un non sens à double titre.,"Tout d'abord, je ne vois absolument pas comment on peut affirmer qu'il y a un
modèle alimentaire? Qu'est-ce que c'est d'ailleurs? Au-delà de la caricature
du camembert, de la baguette et du vin rouge, je ne vois pas. Ensuite, en
supposant qu'il y en ait un, il y en aurait alors une multitude du fait de la
diversité géographique de la France ; avec un modèle corse, alsacien, breton,
normand, auvergnat, lyonnais, etc. Bref, en conclusion, il faudrait soutenir
LES diversités alimentaires.

",0,7,2017-07-20T21:38:28+02:00,0,2017-07-20T21:38:28+02:00,7,Jean29,False,16,2,0,2,018e4e85-6d83-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Problème,Les crises alimentaires successives des dernières années ont fortement fragilisé la confiance des consommateurs vis-à-vis de l’industrie agroalimentaire,"Les decennies 1990 et 2000 ont ete marquees par des crises alimentaires
successives : crise maladie de la vache folle, grippe aviaire, lasagnes a la
viande de cheval, etc. Face a ces differentes crises, les consommateurs
français ont manifeste une inquietude quant a la qualite de leur alimentation
et une defiance marquee envers les grandes entreprises agroalimentaires :
selon une etude menee par GreenFlex en 2017, seuls 27% des Français declarent
faire confiance aux grandes entreprises agroalimentaires (-30,7 points par
rapport a 2004).

",5,166,2017-07-20T19:08:09+02:00,0,2017-07-20T19:08:09+02:00,9,Etats généraux de l'alimentation,True,198,55,0,23,018ed1d8-6d6e-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,un peu de realisme,"il ne faut vraiment pas connaitre notre agriculture pour ne pas voir la
transformation extraordinaire qui a eu lieu ces dernieres années

",0,7,2017-07-26T14:14:42+02:00,0,2017-07-26T14:14:42+02:00,2,mullie,False,11,5,0,2,01d2aef6-71fc-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Solutions,"Revaloriser significativement les minimas sociaux, afin que plus aucune personne ne se retrouve en situation de précarité alimentaire","La solution la plus simple et efficace pour lutter contre la précarité
alimentaire est de donner les moyens financiers pour faire leurs courses aux
personnes en difficultés. Il y a suffisamment d'argent en France pour pouvoir
prendre la décision de ne plus permettre qu'une personne aie faim au XXIème
siècle dans nos contrées riches. Priorité à l'humain, priorité aux
solidarités.

",0,2,2017-07-22T00:43:25+02:00,0,2017-07-22T00:43:25+02:00,1,Line,False,3,2,0,0,023bec10-6e66-11e7-92ee-fa163e947a7a
